
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
18:56:27.191993 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2889966139:2889966247, ack 1838405809, win 310, length 108
18:56:27.192156 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 108:144, ack 1, win 310, length 36
18:56:27.192296 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 144:252, ack 1, win 310, length 108
18:56:27.192402 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 252:288, ack 1, win 310, length 36
18:56:27.195205 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 288:468, ack 1, win 310, length 180
18:56:27.195330 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 468:504, ack 1, win 310, length 36
18:56:27.195483 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 504:660, ack 1, win 310, length 156
18:56:27.195592 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 660:696, ack 1, win 310, length 36
18:56:27.195736 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 696:852, ack 1, win 310, length 156
18:56:27.204188 IP 198.96.85.21.40779 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 852, win 512, length 0
18:56:27.204255 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 852:2040, ack 1, win 310, length 1188
18:56:27.204453 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2040:2188, ack 1, win 310, length 148
18:56:27.204574 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2188:2224, ack 1, win 310, length 36
18:56:27.204723 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2224:2388, ack 1, win 310, length 164
