
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.855631 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108:144, ack 1, win 310, length 36
19:16:10.855732 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 144:252, ack 1, win 310, length 108
19:16:10.855810 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 252:288, ack 1, win 310, length 36
19:16:10.856083 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 288:460, ack 1, win 310, length 172
19:16:10.856173 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 460:496, ack 1, win 310, length 36
19:16:10.856265 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 496:644, ack 1, win 310, length 148
19:16:10.856343 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 644:680, ack 1, win 310, length 36
19:16:10.856450 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 680:828, ack 1, win 310, length 148
19:16:10.869144 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 828, win 512, length 0
19:16:10.869221 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 828:1968, ack 1, win 310, length 1140
19:16:10.869436 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 1968:2100, ack 1, win 310, length 132
19:16:10.869535 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2100:2136, ack 1, win 310, length 36
19:16:10.869647 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2136:2284, ack 1, win 310, length 148
19:16:10.869727 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2284:2320, ack 1, win 310, length 36
19:16:10.869832 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2320:2468, ack 1, win 310, length 148
19:16:10.870023 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2468:2504, ack 1, win 310, length 36
19:16:10.870198 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2504:2652, ack 1, win 310, length 148
19:16:10.870329 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2652:2688, ack 1, win 310, length 36
19:16:10.870458 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2688:2836, ack 1, win 310, length 148
19:16:10.870670 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 2872:3020, ack 1, win 310, length 148
19:16:10.870847 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3056:3204, ack 1, win 310, length 148
19:16:10.871116 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3240:3388, ack 1, win 310, length 148
19:16:10.871360 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3424:3572, ack 1, win 310, length 148
19:16:10.871541 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3608:3756, ack 1, win 310, length 148
19:16:10.883418 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 3756, win 512, length 0
19:16:10.883485 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3756:4896, ack 1, win 310, length 1140
19:16:10.883663 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 4896:5028, ack 1, win 310, length 132
19:16:10.883756 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5028:5064, ack 1, win 310, length 36
19:16:10.883866 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5064:5212, ack 1, win 310, length 148
19:16:10.883976 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5212:5248, ack 1, win 310, length 36
19:16:10.884083 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5248:5396, ack 1, win 310, length 148
19:16:10.884165 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5396:5432, ack 1, win 310, length 36
19:16:10.884266 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5432:5580, ack 1, win 310, length 148
19:16:10.884343 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5580:5616, ack 1, win 310, length 36
19:16:10.884442 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5616:5764, ack 1, win 310, length 148
19:16:10.884623 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5800:5948, ack 1, win 310, length 148
19:16:10.884802 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 5984:6132, ack 1, win 310, length 148
19:16:10.885027 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 6168:6316, ack 1, win 310, length 148
19:16:10.885420 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 6352:6844, ack 1, win 310, length 492
19:16:10.885606 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 6844:7224, ack 1, win 310, length 380
19:16:10.885727 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7224:7372, ack 1, win 310, length 148
19:16:10.885844 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7372:7520, ack 1, win 310, length 148
19:16:10.886052 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7520:7668, ack 1, win 310, length 148
19:16:10.886256 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7668:7816, ack 1, win 310, length 148
19:16:10.886395 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7816:7964, ack 1, win 310, length 148
