
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:47.116521 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3575676403:3575676511, ack 3367173704, win 310, length 108
19:16:47.116619 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 108:144, ack 1, win 310, length 36
19:16:47.116713 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 144:252, ack 1, win 310, length 108
19:16:47.116785 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 252:288, ack 1, win 310, length 36
19:16:47.119994 IP 198.96.85.21.63313 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 288, win 508, length 0
19:16:47.123436 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 288:468, ack 1, win 310, length 180
19:16:47.123534 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 468:504, ack 1, win 310, length 36
19:16:47.123643 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 504:660, ack 1, win 310, length 156
19:16:47.123814 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 696:852, ack 1, win 310, length 156
19:16:47.124033 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 888:1044, ack 1, win 310, length 156
19:16:47.124298 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 1080:1228, ack 1, win 310, length 148
19:16:47.136063 IP 198.96.85.21.63313 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1264, win 512, length 0
19:16:47.136149 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 1264:2424, ack 1, win 310, length 1160
19:16:47.136400 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2424:2572, ack 1, win 310, length 148
19:16:47.136494 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2572:2608, ack 1, win 310, length 36
19:16:47.136647 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2608:2772, ack 1, win 310, length 164
19:16:47.136775 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2772:2808, ack 1, win 310, length 36
19:16:47.136966 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2808:2972, ack 1, win 310, length 164
19:16:47.137090 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 2972:3008, ack 1, win 310, length 36
19:16:47.137263 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3008:3164, ack 1, win 310, length 156
19:16:47.137388 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3164:3200, ack 1, win 310, length 36
19:16:47.137552 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3200:3364, ack 1, win 310, length 164
19:16:47.137830 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3400:3556, ack 1, win 310, length 156
19:16:47.138147 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3592:3756, ack 1, win 310, length 164
19:16:47.138426 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3792:3948, ack 1, win 310, length 156
19:16:47.138684 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 3984:4148, ack 1, win 310, length 164
19:16:47.138951 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 4184:4340, ack 1, win 310, length 156
19:16:47.148658 IP 198.96.85.21.63313 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 4340, win 512, length 0
19:16:47.148727 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 4340:5576, ack 1, win 310, length 1236
19:16:47.148996 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 5576:5724, ack 1, win 310, length 148
19:16:47.149133 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 5724:5760, ack 1, win 310, length 36
19:16:47.149301 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 5760:5924, ack 1, win 310, length 164
19:16:47.149410 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 5924:5960, ack 1, win 310, length 36
19:16:47.149555 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 5960:6124, ack 1, win 310, length 164
19:16:47.149798 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 6124:6536, ack 1, win 310, length 412
19:16:47.150082 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 6536:6820, ack 1, win 310, length 284
19:16:47.150278 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 6820:6984, ack 1, win 310, length 164
19:16:47.150443 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 6984:7148, ack 1, win 310, length 164
19:16:47.150572 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 7148:7312, ack 1, win 310, length 164
19:16:47.150759 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63313: Flags [P.], seq 7312:7476, ack 1, win 310, length 164
